price,Kecamatan,komplek,Listrik,Lantai,KM,KMP,KP,KT,Kondisi,kondisi_properti,LB,LT,carport/Garage
3200,BSD Golden Viena,0,6600,2,4,1,1,4,Unfurnished,Bagus,400,225,1
2050,BSD Golden Viena,1,2200,2,1,1,1,4,Furnished,Bagus,250,160,1
3500,BSD Golden Viena,0,3500,1,1,0,0,1,Unfurnished,Bagus,150,238,0
5300,BSD Golden Viena,0,5500,2,5,1,2,6,Furnished,Bagus,450,346,0
5300,BSD Golden Viena,0,5500,2,5,1,2,6,Furnished,Bagus,450,346,1
3200,BSD Golden Viena,0,6600,2,4,2,1,4,Unfurnished,Bagus,400,225,1
331,Mauk,1,1300,1,1,0,0,2,Unfurnished,Bagus,66,36,1
360,Mauk,1,1300,1,1,0,0,2,Unfurnished,Bagus,66,42,1
360,Mauk,1,1300,1,1,0,0,2,Unfurnished,Bagus,66,37,1
283,Mauk,1,1300,1,1,0,0,2,Furnished,Bagus,66,35,1
1250,Mauk,1,2200,3,3,0,0,3,Furnished,Bagus,200,96,1
397,Mauk,1,1300,1,1,0,0,2,Unfurnished,Bagus,66,45,1
335,Mauk,1,1300,1,1,0,0,2,Unfurnished,Bagus,66,37,1
525,Mauk,0,2200,2,2,0,0,3,Furnished,Bagus,131,260,1
181,Mauk,1,1300,1,1,0,0,2,Furnished,Bagus,66,30,1
950,Mauk,1,2200,2,3,0,0,3,Unfurnished,Bagus,203,125,1
650,Mauk,0,1300,1,1,0,0,1,Unfurnished,Butuh renovasi,40,120,0
720,Mauk,1,2200,1,1,0,0,2,Unfurnished,Bagus,62,98,1
2700,Permata Medang,0,12700,2,3,1,1,9,Furnished,Bagus,220,178,0
1200,Permata Medang,1,5500,2,2,0,0,5,Unfurnished,Bagus,180,90,1
2200,Metro Permata,0,2200,1,3,0,0,4,Furnished,Bagus,216,112,1
1800,Metro Permata,1,2200,2,2,0,0,3,Unfurnished,Bagus,99,87,1
2500,Metro Permata,1,3500,2,2,0,0,3,Furnished,Bagus,135,144,1
6000,Metro Permata,0,2200,1,3,0,0,3,Unfurnished,Bagus,172,220,0
1950,Metro Permata,0,3500,1,3,0,0,4,Furnished,Bagus,112,160,1
2800,Metro Permata,0,5500,2,2,1,1,3,Furnished,Bagus,200,144,0
1650,Metro Permata,1,2200,2,3,1,1,3,Furnished,Bagus,125,118,1
1350,Metro Permata,0,2200,1,2,0,0,4,Furnished,Bagus,100,102,0
990,Metro Permata,1,1300,1,1,0,0,2,Unfurnished,Butuh renovasi,5,78,1
975,Metro Permata,0,2200,1,1,0,0,2,Furnished,Bagus,50,78,1
1500,Metro Permata,0,3300,2,2,0,0,4,Furnished,Bagus,155,84,1
2560,Metro Permata,0,3500,1,1,0,0,1,Unfurnished,Bagus,140,144,0
4500,Metro Permata,0,6600,2,4,0,0,6,Furnished,Bagus,370,263,0
2500,Metro Permata,1,3500,2,2,1,1,5,Furnished,Bagus,180,160,1
6000,Metro Permata,0,8000,2,3,1,1,4,Furnished,Bagus,500,276,1
1600,Metro Permata,0,2200,1,1,0,0,2,Furnished,Bagus,112,112,0
2270,Metro Permata,1,3500,2,3,0,0,3,Furnished,Bagus,150,105,1
1200,Metro Permata,0,2200,1,2,0,0,1,Unfurnished,Butuh renovasi,60,84,1
3150,BSD The Icon,1,4400,1,1,0,0,1,Furnished,Bagus,120,162,1
1900,BSD The Icon,1,2200,2,2,0,0,3,Unfurnished,Bagus,73,119,1
2150,BSD The Icon,0,2200,2,2,0,0,3,Furnished,Bagus,73,119,0
3100,BSD The Icon,0,4400,2,3,1,1,3,Unfurnished,Bagus,150,144,0
1600,BSD The Icon,1,2200,1,1,0,0,2,Unfurnished,Bagus,73,90,1
5250,BSD The Icon,1,7700,2,3,1,1,4,Unfurnished,Bagus,225,202,1
3100,BSD The Icon,1,2200,2,3,0,1,3,Furnished,Bagus,200,144,1
4500,BSD The Icon,1,4400,2,3,1,1,4,Furnished,Bagus,175,200,1
2150,BSD The Icon,1,2200,2,1,1,1,2,Furnished,Bagus,80,112,1
3300,BSD The Icon,1,2200,2,3,1,1,3,Furnished,Bagus,120,162,1
1000,Jurangmangu,0,2200,1,1,0,0,3,Unfurnished,Bagus,80,100,0
4100,BSD The Icon,1,4400,3,4,1,1,4,Furnished,Bagus,229,132,1
3300,BSD The Icon,0,2200,2,2,1,1,3,Furnished,Bagus,120,162,1
4100,BSD The Icon,0,4400,3,4,1,1,4,Furnished,Bagus,229,132,1
790,Jombang,1,1300,1,1,0,0,2,Furnished,Bagus,36,72,1
997,Jurangmangu,1,2200,2,2,0,0,3,Unfurnished,Bagus,60,60,1
1900,Jurangmangu,1,3500,3,3,1,1,3,Unfurnished,Bagus,150,60,1
1800,Jurangmangu,0,5500,2,3,0,0,5,Furnished,Bagus,200,175,1
2800,Jurangmangu,1,2200,1,2,1,1,3,Furnished,Bagus,124,354,1
1500,Jurangmangu,0,3500,1,2,0,0,4,Unfurnished,Bagus,140,200,1
4950,Jurangmangu,1,2200,2,5,1,1,5,Unfurnished,Bagus,260,264,1
600,Jurangmangu,1,2200,2,3,0,0,3,Unfurnished,Bagus,66,60,1
850,Permata Medang,1,1300,1,1,0,0,2,Unfurnished,Bagus,78,90,1
600,Permata Medang,1,2200,2,2,0,0,3,Unfurnished,Bagus,55,60,1
3300,BSD Residence One,1,2200,2,2,1,1,2,Furnished,Bagus,160,199,1
3500,BSD Residence One,1,4400,3,3,1,1,3,Unfurnished,Bagus,300,200,1
2850,BSD Residence One,1,5500,2,4,1,1,4,Unfurnished,Bagus,250,160,1
3700,BSD Residence One,1,6600,2,5,1,1,5,Unfurnished,Bagus,399,250,1
1500,Jurangmangu,0,2200,1,3,0,1,4,Furnished,Butuh renovasi,100,150,1
2800,Jurangmangu,0,2200,1,1,0,0,1,Furnished,Bagus,300,350,0
890,Jurangmangu,0,2200,1,1,0,0,1,Furnished,Bagus,60,90,0
1500,Jurangmangu,1,2200,2,2,0,0,5,Unfurnished,Bagus,190,119,1
2050,Jurangmangu,0,2200,2,4,0,0,5,Unfurnished,Bagus,105,106,1
699,Jurangmangu,1,1300,2,2,0,0,3,Furnished,Bagus,60,60,1
